sm1,Willie Aames,1960
sm2,Bud Abbott,1895
sm3,George Abbott,1887
sm4,John Abbott,1905
sm5,Philip Abbott,1923
sm6,Kareem AbdulJabbar,
sm7,Walter Abel,1898
sm8,F.Murray Abraham,
sm9,James Abrahams,
sm10,Maury Abram,
sm11,Joss Ackland,1928
sm12,Dan Ackroyd,
sm13,David Ackroyd,1940
sm14,Peter Ackroyd,
sm15,Rodolfo Acosta,1920
sm16,Eddie Acuff,1902
sm17,Jean Adair,1872
sm18,Alfred Adam,1909
sm19,Ronald Adam,1896
sm20,John Adames,
sm21,Beverly Adams,1945
sm22,Catlin Adams,1950
sm23,Dorothy Adams,1915
sm24,Edie Adams,1929
sm25,Jane Adams,1921
sm26,Jill Adams,1931
sm27,Julie Adams,1926
sm28,Maud Adams,1950
sm29,Nick Adams,1931
sm30,Robert Adams,1906
sm31,Sam Adams,
sm32,Tome Adams,1938
sm33,Dawn Addams,1930
sm34,Wesley Addy,1912
sm35,Isabelle Adjani,1955
sm36,Jay Adler,1899
sm37,Luther Adler,1903
sm38,Renee Adoree,1898
sm39,Max Adrian,1902
sm40,John Agar,1921
sm41,Jenny Agutter,1952
sm42,Brian Aherne,1902
sm43,Philip Ahn,1911
sm44,Anouk Aimee,1932
sm45,Richard Ainley,1910
sm46,Maria Aitkins,
sm47,Franklyn Ajaye,1949
sm48,Muriel Aked,1887
sm49,Claude Akins,1918
sm50,Serap Aksoy,
sm51,Josh Albee,
sm52,Anna Maria Alberghetti,1936
sm53,Han Albers,1892
sm54,Eddie Albert,1908
sm55,Edward Albert jr.,
sm56,William Albert,
sm57,Frank Albertson,1907
sm58,Jack Albertson,1907
sm59,Mabel Albertson,1901
sm60,Hardie Albright,1903
sm61,Lola Albright,1925
sm62,Robert Alda,1914
sm63,Vera Alentova,
sm64,Ben Alexander,1911
sm65,Jane Alexander,1939
sm66,Katherine Alexander,1901
sm67,Ross Alexander,1907
sm68,Sandy Alexander,
sm69,Terence Alexander,1923
sm70,Hope AlexanderWells,
sm71,Muhammed Ali,1942
sm72,Dorothy Alison,1925
sm73,Andrea Allan,
sm74,Elizabeth Allan,1908
sm75,William Alland,1916
sm76,Chesney Allen,1894
sm77,Catherine Allegret,
sm78,Elizabeth Allen,1934
sm79,Fred Allen,1894
sm80,Gracie Allen,1902
sm81,Karen Allen,1955
sm82,Nancy Allen,1954
sm83,Patrick Allen,1927
sm84,Rae Allen,
sm85,Steve Allen,1921
sm86,Joseph Allen jr.,
sm87,Sara Allgood,1883
sm88,Claud Allister,1891
sm89,Astrid Allwyn,1909
sm90,June Allyson,1917
sm91,Pedro Almodovar,
sm92,Corinne Alphen,
sm93,Kirk Alyn,1910
sm94,Betty Amann,
sm95,Leonora Amar,
sm96,Don Ameche,1908
sm97,Lucio Amelio,
sm98,Leon Ames,1903
sm99,Ramsay Ames,1919
sm100,Suzy Amis,1962
sm101,John Amos,
sm102,John Amplas,
sm103,Glenn Anders,1889
sm104,Luana Anders,1949
sm105,Merry Anders,1932
sm106,Bridgette Andersen,
sm107,Bibi Anderson,
sm108,E. Erich Anderson,
sm109,Rochester,1905
sm110,G.M. Anderson,1882
sm111,Harriet Anderson,
sm112,Herbert Anderson,1917
sm113,Ingrid Anderson,
sm114,Jean Anderson,1908
sm115,John Anderson,1922
sm116,Judith Anderson,1898
sm117,Lindsay Anderson,1923
sm118,Loni Anderson,1947
sm119,Mary Anderson,1920
sm120,Melissa Sue Anderson,
sm121,Michael Anderson jr.,1943
sm122,Rona Anderson,1926
sm123,Warner Anderson,1911
sm124,Bibi Andersson,1935
sm125,Harriet Andersson,1932
sm126,Carole Andre,
sm127,Gabe Andre,
sm128,Fredric Andrei,
sm129,Anthony Andrews,1948
sm130,Brian Andrews,
sm131,Dana Andrews,1909
sm132,Eamonn Andrews,
sm133,Edward Andrews,1914
sm134,Harry Andrews,1911
sm135,The Andrews Sisters,
sm136,Stanley Andrews,1892
sm137,Heather Angel,1909
sm138,Pier Angeli,1932
sm139,The Hells Angels,
sm140,Muriel Angelus,1909
sm141,Ivy Angustain,
sm142,Evelyn Ankers,1918
sm143,Morris Ankrum,1896
sm144,Francesca Annis,1944
sm145,AnnMargret,1941
sm146,Michael Ansara,1922
sm147,Karen Anspach,
sm148,Susan Anspach,1939
sm149,Adam Ant,
sm150,Michael Anthony,
sm151,Susan Anton,
sm152,Laura Antonelli,
sm153,Lou Antonio,
sm154,Scott Antony,1950
sm155,Aquanetta,1920
sm156,Roscoe Arbuckle,1887
sm157,Eve Arden,1912
sm158,Carmen Argenziano,
sm159,Adam Arkin,
sm160,David Arkin,
sm161,Richard Arlen,1898
sm162,Arletty,1898
sm163,George Arliss,1868
sm164,Pedro Armendariz,1912
sm165,Henry Armetta,1888
sm166,Bess Armstrong,
sm167,Louis Armstrong,1900
sm168,Robert Armstrong,1890
sm169,Todd Armstrong,1939
sm170,Yvonne Arnaud,1892
sm171,Desi Arnaz,1915
sm172,Desi Arnaz jr.,1953
sm173,Peter Arne,1920
sm174,James Arness,1923
sm175,Jeanetta Arnette,
sm176,Edward Arnold,1890
sm177,Mark Arnott,
sm178,Charles Arnt,1908
sm179,Antonin Artaud,1895
sm180,Beatrice Arthur,1923
sm181,George K. Arthur,1899
sm182,Jean Arthur,1905
sm183,Linda Arvidson,1884
sm184,Leslie Ash,
sm185,Peggy Ashcroft,1907
sm186,Jane Asher,1946
sm187,Renee Asherson,1920
sm188,Edward Ashley,1904
sm189,Jennifer Ashley,
sm190,John Ashley,
sm191,Gregoire Asian,
sm192,Luke Askew,
sm193,Arthur Askey,1900
sm194,Ed Asner,1929
sm195,Chuck Aspegren,
sm196,Asta,
sm197,Adele Astaire,
sm198,Nils Asther,1897
sm199,John Astin,1930
sm200,Patty Duke Astin,1946
sm201,Gertrude Astor,1887
sm202,Mary Astor,1906
sm203,Eileen Atkins,1934
sm204,Kiyoshi Atsumi,1928
sm205,Malcolm Atterbury,1907
sm206,Edith Atwater,1911
sm207,Lionel Atwill,1885
sm208,Kim Atwood,
sm209,Brigitte Auber,
sm210,Rene Auberjonois,1940
sm211,Lenore Aubert,1913
sm212,Cecile Aubry,1929
sm213,Joss Auckland,
sm214,Michael Auclair,1922
sm215,Maxine Audley,1923
sm216,Stephane Audran,1932
sm217,Audrey,
sm218,Mischa Auer,1905
sm219,Claudine Auger,1942
sm220,Marie Ault,1870
sm221,JeanPierre Aumont,1909
sm222,John Austin,
sm223,Gene Autry,1907
sm224,Frankie Avalon,1939
sm225,Luis Avalos,
sm226,Doe Avedon,1928
sm227,Brian Avery,
sm228,Margaret Avery,
sm229,Nina Axelrod,
sm230,Hoyt Axton,
sm231,George Ayer,
sm232,Felix Aylmer,1889
sm233,Agnes Ayres,1896
sm234,Gregg Ayres,
sm235,Lew Ayres,1908
sm236,Robert Ayres,1914
sm237,Randle Ayrton,1869
sm238,Candy Azzara,
sm239,Lauren Bacall,1924
sm240,Barbara Bach,1951
sm241,Pamela Bach,1962
sm242,Jim Backus,1913
sm243,Hermione Baddeley,
sm244,Alan Badel,1923
